DINOv2 Model,DINOv2 Layers,DINOv2 Scales,VGG16 Layers,VGG16 Scales,Accuracy,Execution Time
None,x_norm_patchtokens,(),None,(),0.8062553405761719,3.6491146087646484
None,x_norm_patchtokens,(),None,"(1, 2)",0.810302734375,3.6169800758361816
None,x_norm_patchtokens,(),"[2, 7]",(),0.8554344177246094,28.918946743011475
None,x_norm_patchtokens,(),"[2, 7]","(1, 2)",0.8537559509277344,46.380056619644165
None,"[8, 9, 10, 11]",(),None,(),0.8068428039550781,2.900054454803467
None,"[8, 9, 10, 11]",(),None,"(1, 2)",0.8092880249023438,2.8347132205963135
None,"[8, 9, 10, 11]",(),"[2, 7]",(),0.8629341125488281,16.715320587158203
None,"[8, 9, 10, 11]",(),"[2, 7]","(1, 2)",0.8515205383300781,52.14584493637085
s,x_norm_patchtokens,(),None,(),0.9639015197753906,10.347938537597656
s,x_norm_patchtokens,(),None,"(1, 2)",0.9623641967773438,7.850418567657471
s,x_norm_patchtokens,(),"[2, 7]",(),0.9621849060058594,16.788328886032104
s,x_norm_patchtokens,(),"[2, 7]","(1, 2)",0.9641647338867188,29.424981594085693
s,"[8, 9, 10, 11]",(),None,(),0.9645729064941406,12.803489446640015
s,"[8, 9, 10, 11]",(),None,"(1, 2)",0.9638786315917969,12.417689561843872
s,"[8, 9, 10, 11]",(),"[2, 7]",(),0.9631996154785156,19.783053159713745
s,"[8, 9, 10, 11]",(),"[2, 7]","(1, 2)",0.9585685729980469,45.35215997695923
