Image,Annotated,DINOv2 Model,DINOv2 Layers,DINOv2 Scales,VGG16 Layers,VGG16 Scales,Accuracy,Execution Time
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),None,(),0.8095283508300781,13.452763319015503
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),None,"(1, 2)",0.8108100891113281,10.614927291870117
Test_Image,0.0220184326171875,None,x_norm_patchtokens,"(1, 2)",None,(),0.8130073547363281,8.559608697891235
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),"[2, 7]",(),0.8592681884765625,41.51158285140991
Test_Image,0.0220184326171875,None,x_norm_patchtokens,(),"[2, 7]","(1, 2)",0.8533668518066406,61.00642418861389
Test_Image,0.0220184326171875,None,x_norm_patchtokens,"(1, 2)","[2, 7]",(),0.8581619262695312,35.235095739364624
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),None,(),0.9638481140136719,17.648788690567017
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),None,"(1, 2)",0.9652366638183594,10.108116626739502
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"(1, 2)",None,(),0.969207763671875,80.50704550743103
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),"[2, 7]",(),0.9651222229003906,16.62656331062317
Test_Image,0.0220184326171875,s,x_norm_patchtokens,(),"[2, 7]","(1, 2)",0.9611549377441406,39.00273394584656
Test_Image,0.0220184326171875,s,x_norm_patchtokens,"(1, 2)","[2, 7]",(),0.9646759033203125,113.4550290107727
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),None,(),0.9647178649902344,34.325114250183105
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),None,"(1, 2)",0.9625434875488281,15.864431858062744
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","(1, 2)",None,(),0.9675178527832031,375.9620089530945
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),"[2, 7]",(),0.9648246765136719,28.757038116455078
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]",(),"[2, 7]","(1, 2)",0.9647979736328125,68.17673897743225
Test_Image,0.0220184326171875,s,"[8, 9, 10, 11]","(1, 2)","[2, 7]",(),0.9662399291992188,349.23316049575806
